subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-018,A,Fp2,P4,20,40,2.907924343047627,4.537293545272806e-05
sub-018,A,Fp2,P4,30,60,2.2077009796621567,0.00046086852880156283
sub-018,A,Fp2,P4,40,80,1.6278469035328038,0.013254017929403061
sub-018,A,Fp2,P4,50,100,2.0220716434007118,0.00020446589346567845
sub-019,A,P3,Fp1,5,10,59.553041031495866,1.7171084625352254e-43
sub-019,A,P3,Fp1,10,20,30.969076649082417,4.249000713054738e-41
sub-019,A,P3,Fp1,20,40,17.738802703828817,9.534510866779277e-40
sub-019,A,P3,Fp1,30,60,15.102751147777274,2.819502988152224e-43
sub-019,A,P3,Fp1,40,80,14.498795185682521,7.741276348076617e-48
sub-019,A,P3,Fp1,50,100,15.275997949356258,3.242184319378258e-54
sub-019,A,Fp1,P3,5,10,57.98121757187536,1.2809305175298988e-42
sub-019,A,Fp1,P3,10,20,30.346719164976253,1.9462329832374074e-40
sub-019,A,Fp1,P3,20,40,17.903752935646565,4.664338464332887e-40
sub-019,A,Fp1,P3,30,60,14.299763410100088,2.461517642586776e-41
sub-019,A,Fp1,P3,40,80,15.165128139453971,1.428112693894405e-49
sub-019,A,Fp1,P3,50,100,15.805824743483239,1.3239946873378825e-55
sub-019,A,P4,Fp2,5,10,92.23607668109956,1.6657256869044485e-59
sub-019,A,P4,Fp2,10,20,46.98201421049267,3.1933065187063893e-56
sub-019,A,P4,Fp2,20,40,25.34441509722193,9.291065829107986e-53
sub-019,A,P4,Fp2,30,60,19.900733478307348,8.270759325980646e-54
sub-019,A,P4,Fp2,40,80,17.292136105914857,8.316182170056436e-55
sub-019,A,P4,Fp2,50,100,15.77397059433368,1.6013686428687162e-55
sub-019,A,Fp2,P4,5,10,40.820025472252766,2.690628626927561e-32
sub-019,A,Fp2,P4,10,20,21.233174070045415,5.804948571950587e-30
sub-019,A,Fp2,P4,20,40,12.932003218972087,5.022100968511552e-30
sub-019,A,Fp2,P4,30,60,11.074054965064267,6.472832707255878e-33
sub-019,A,Fp2,P4,40,80,14.21895403315555,4.2808222000001244e-47
