subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-034,A,Fp1,P3,10,20,19.614967130769724,6.2801393942581655e-28
sub-034,A,Fp1,P3,20,40,16.339631969303106,4.692275000725016e-37
sub-034,A,Fp1,P3,30,60,11.71107241032385,1.1571050896417827e-34
sub-034,A,Fp1,P3,40,80,9.979607459857517,1.2185771617689975e-34
sub-034,A,Fp1,P3,50,100,8.827073219460859,3.7885590052102973e-34
sub-034,A,P4,Fp2,5,10,24.951712811351225,3.589338285035994e-21
sub-034,A,P4,Fp2,10,20,22.970087691201496,4.3966946962413504e-32
sub-034,A,P4,Fp2,20,40,28.738278014414,7.778297047904201e-58
sub-034,A,P4,Fp2,30,60,36.611228250314745,5.60503283236987e-81
sub-034,A,P4,Fp2,40,80,28.04571091710492,4.474497395267355e-76
sub-034,A,P4,Fp2,50,100,22.649787961109435,3.926201789761503e-71
sub-034,A,Fp2,P4,5,10,32.79594863264015,6.870435682990679e-27
sub-034,A,Fp2,P4,10,20,26.188049388695312,7.502488340608225e-36
sub-034,A,Fp2,P4,20,40,24.53046900787929,1.7608197760932533e-51
sub-034,A,Fp2,P4,30,60,17.15954165864278,5.308905145833952e-48
sub-034,A,Fp2,P4,40,80,16.062512185094466,7.80838045171819e-52
sub-034,A,Fp2,P4,50,100,15.036763379901963,1.4082051467637363e-53
sub-035,A,P3,Fp1,5,10,7.824812266131918,5.863644294322177e-07
sub-035,A,P3,Fp1,10,20,5.966304567257255,2.8421884154917956e-08
sub-035,A,P3,Fp1,20,40,4.5627067307563705,1.8133621280518598e-09
sub-035,A,P3,Fp1,30,60,3.730025956667392,2.6665315314301344e-09
sub-035,A,P3,Fp1,40,80,2.7788306058496843,5.308486409990734e-07
sub-035,A,P3,Fp1,50,100,2.2248502782723114,2.6079730834905982e-05
sub-035,A,Fp1,P3,5,10,9.430106505645304,2.1733411197183684e-08
sub-035,A,Fp1,P3,10,20,7.605683183949663,7.367510887348319e-11
sub-035,A,Fp1,P3,20,40,5.753415709360899,1.1675917739257562e-12
sub-035,A,Fp1,P3,30,60,4.397089924950678,1.1300837736327262e-11
sub-035,A,Fp1,P3,40,80,4.070637305105092,1.7867279326085884e-12
sub-035,A,Fp1,P3,50,100,3.38389965886439,8.523122790485894e-11
sub-035,A,P4,Fp2,5,10,6.323061386614419,1.3075543968348877e-05
sub-035,A,P4,Fp2,10,20,6.031998046054442,2.2359130675041885e-08
sub-035,A,P4,Fp2,20,40,3.6968102940387353,3.8377157508052197e-07
sub-035,A,P4,Fp2,30,60,2.5657768288222815,3.0921482937973436e-05
sub-035,A,P4,Fp2,40,80,1.9086430623630162,0.0014458142731833688
sub-035,A,P4,Fp2,50,100,1.6474821136521351,0.00679684672310881
sub-035,A,Fp2,P4,5,10,9.746509816374305,1.1399332824085837e-08
sub-035,A,Fp2,P4,10,20,6.844284386811556,1.1592156019424638e-09
sub-035,A,Fp2,P4,20,40,4.6527698789217835,1.0374848892174488e-09
sub-035,A,Fp2,P4,30,60,6.922028726617889,2.4105604649338413e-20
sub-035,A,Fp2,P4,40,80,6.746592383993094,2.758619708746706e-23
sub-035,A,Fp2,P4,50,100,6.616359504335814,1.714023085381789e-25
sub-036,A,P3,Fp1,5,10,4.197452372069358,0.0010456643606171921
sub-036,A,P3,Fp1,10,20,2.2510516024211946,0.015068639473484021
sub-036,A,P3,Fp1,20,40,1.6223536344328402,0.046396455615642374
sub-036,A,P3,Fp1,30,60,1.0707545901790085,0.3717640649881519
sub-036,A,P3,Fp1,40,80,0.8160906344997119,0.7784093063460826
sub-036,A,P3,Fp1,50,100,0.6653426860531511,0.9582661523410169
sub-036,A,Fp1,P3,5,10,1.883020074535239,0.09693147922131978
sub-036,A,Fp1,P3,10,20,1.2401756669881872,0.2644813255424268
sub-036,A,Fp1,P3,20,40,1.1095928021921937,0.33814969970685566
sub-036,A,Fp1,P3,30,60,0.8737948768543271,0.660335204783369
sub-036,A,Fp1,P3,40,80,0.638076202041746,0.9565968192573544
sub-036,A,Fp1,P3,50,100,0.5098940062626517,0.9974772662412922
sub-036,A,P4,Fp2,5,10,23.27559039945411,6.886318726833054e-20
sub-036,A,P4,Fp2,10,20,11.676331424190892,4.764742607625598e-17
sub-036,A,P4,Fp2,20,40,6.316479502328156,3.787812418209244e-14
sub-036,A,P4,Fp2,30,60,4.864088852700717,2.5260566763059915e-13
sub-036,A,P4,Fp2,40,80,3.546564634059071,3.0177298981912e-10
sub-036,A,P4,Fp2,50,100,3.270166277805021,3.013570265426761e-10
sub-036,A,Fp2,P4,5,10,55.267420829234865,4.373259134451624e-41
sub-036,A,Fp2,P4,10,20,29.21859371153234,3.188317817817851e-39
sub-036,A,Fp2,P4,20,40,14.85518265293382,4.439262344237135e-34
sub-036,A,Fp2,P4,30,60,10.614642792708278,1.2576149583058022e-31
sub-036,A,Fp2,P4,40,80,11.93971141267359,1.0657157432335712e-40
sub-036,A,Fp2,P4,50,100,11.962167896266376,1.0162324594306765e-44
sub-037,C,P3,Fp1,5,10,61.07063004943835,2.5266235218228057e-44
sub-037,C,P3,Fp1,10,20,33.413564264664835,1.2360954917414306e-43
sub-037,C,P3,Fp1,20,40,18.11809302274187,1.8510119567830235e-40
sub-037,C,P3,Fp1,30,60,12.825492561503957,1.286903290588976e-37
sub-037,C,P3,Fp1,40,80,9.566539781430809,2.7339853199800746e-33
sub-037,C,P3,Fp1,50,100,8.320615388575325,2.913744285022269e-32
sub-037,C,Fp1,P3,5,10,80.48125006815606,3.63733665535599e-54
sub-037,C,Fp1,P3,10,20,45.17024228061414,1.1388524230398583e-54
sub-037,C,Fp1,P3,20,40,24.950898839013178,3.8256409492416236e-52
sub-037,C,Fp1,P3,30,60,18.450198036522462,8.427302403799598e-51
sub-037,C,Fp1,P3,40,80,13.911136377703118,2.8754003308725494e-46
sub-037,C,Fp1,P3,50,100,11.826313043005669,2.689898662468564e-44
sub-037,C,P4,Fp2,5,10,90.49690605996331,9.678507639349557e-59
